Wall time,Step,Value
1701722351.1666265,2768,67.25
1701722355.4083612,2773,71.25
1701722359.6632578,2778,63.25
1701722373.179323,2785,67.5
1701722404.2662628,2812,71.0
1701722431.005313,2834,69.75
1701722434.4449081,2838,68.25
1701722439.634985,2844,67.0
1701722445.564828,2851,67.0
1701722462.2745667,2861,65.0
1701722463.1277704,2862,68.75
1701722479.3632374,2881,70.0
1701722480.204391,2882,67.75
1701722496.1049895,2891,72.5
1701722497.851264,2893,70.25
1701722527.1407347,2918,73.25
1701722529.7364113,2921,66.0
1701722532.299192,2924,75.0
1701722540.846758,2934,68.25
1701722564.4023974,2952,69.25
1701722567.037795,2955,72.75
1701722573.053719,2962,74.75
1701722584.2381732,2965,64.75
1701722585.9921103,2967,69.75
1701722591.175202,2973,75.5
1701722602.2798948,2986,68.5
1701722618.7371173,2996,61.75
1701722621.4603934,2999,76.0
1701722624.084873,3002,75.25
1701722631.0926266,3010,67.5
1701722646.742824,3019,67.25
1701722660.2788677,3034,74.75
1701722679.7121205,3047,69.75
1701722720.290599,3083,70.5
1701722721.1289387,3084,74.0
1701722739.956071,3096,71.75
1701722746.2183998,3103,76.0
1701722747.1227212,3104,70.25
1701722748.0175645,3105,77.0
1701722753.3415444,3111,68.0
1701722756.8542292,3115,72.5
1701722760.355988,3119,68.75
1701722770.3133485,3120,70.5
1701722771.1694746,3121,72.75
1701722775.498558,3126,71.25
1701722777.2670848,3128,76.0
1701722792.173413,3145,71.25
1701722833.156262,3173,69.5
1701722837.494146,3178,74.25
1701722845.3564925,3187,74.75
1701722847.957074,3190,73.25
1701722849.691751,3192,69.25
1701722863.7216098,3199,71.75
1701722868.7140524,3204,72.75
1701722879.02027,3216,73.5
1701722879.8601708,3217,76.25
1701722882.4174943,3220,78.5
1701722884.1153648,3222,72.0
1701722897.7494843,3229,70.5
1701722907.9921136,3241,77.5
1701722909.6901073,3243,68.25
1701722936.6153212,3265,76.5
1701722939.1469228,3268,79.0
1701722972.985436,3298,76.25
1701722987.7380586,3306,81.0
1701723025.1725864,3340,83.0
1701723029.4458506,3345,74.25
1701723046.5498953,3356,82.5
1701723054.250476,3365,75.75
1701723060.2079816,3372,71.5
1701723061.887997,3374,75.25
1701723064.4502425,3377,76.25
1701723066.1289253,3379,78.25
1701723078.0469718,3384,77.0
1701723078.9005532,3385,74.25
1701723085.7570784,3393,76.0
1701723095.1199267,3404,80.25
1701723115.4887137,3418,78.25
